trial,experimental,control,event.e,noevent.e,n.e,event.c,noevent.c,n.c,blinding,randomization,metaphaylasis,OR
1,DRUGA,No Treatment,20,80,100,43,7,50,1,0,1,0.040697674
2,DRUGA,No Treatment,40,60,100,32,17,49,1,0,1,0.354166667
3,DRUGA,No Treatment,25,75,100,35,15,50,0,1,0,0.142857143
4,DRUGA,No Treatment,43,57,100,38,12,50,0,1,1,0.238227147
5,DRUGA,No Treatment,280,720,1000,510,10,520,1,1,1,0.007625272
6,DRUGA,No Treatment,33,69,102,44,7,51,0,1,1,0.076086957
7,DRUGA,No Treatment,32,69,101,45,6,51,1,0,0,0.061835749
8,DRUGA,No Treatment,120,900,1020,430,70,500,0,1,0,0.021705426
9,DRUGA,No Treatment,16,37,53,24,29,53,0,0,0,0.522522523
10,DRUGA,No Treatment,16,38,54,24,29,53,0,0,1,0.50877193
11,DRUGA,No Treatment,20,80,100,47,3,50,1,1,1,0.015957447
12,DRUGA,No Treatment,25,75,100,35,15,50,1,1,0,0.142857143
13,DRUGA,No Treatment,43,57,100,38,12,50,0,0,1,0.238227147
